porosity,perm_contrast,oil_water_viscosity_ratio,injection_rate,breakthrough_pv,cumulative_oil_pv,terminal_watercut
0.233707,0.458943,4.747730,1.370324,16.280824,22.080000,1.000000
0.208778,0.677069,7.599418,0.807779,27.618937,22.080000,1.000000
0.171046,0.416515,4.548761,1.378791,16.180845,22.080000,1.000000
0.252848,0.831991,8.281180,0.633652,35.208602,22.080000,1.000000
0.314508,0.239980,9.916380,1.166532,19.125058,22.080000,1.000000
0.266509,0.403781,5.369119,1.425217,15.653752,22.080000,1.000000
0.250481,0.958368,4.550425,0.844166,26.428441,22.080000,1.000000
0.219214,0.996961,5.328095,1.054747,21.151989,22.080000,1.000000
0.214255,0.746663,3.377447,1.036423,21.525957,22.080000,1.000000
0.289119,0.260736,7.384927,0.896605,24.882742,22.080000,1.000000
0.207273,0.894406,2.813474,1.068657,20.876671,22.080000,1.000000
0.237211,0.143227,6.167721,1.442289,15.468465,22.080000,1.000000
0.236162,0.864729,11.330136,0.865954,25.763508,22.080000,1.000000
0.225025,0.098051,6.513398,0.764869,29.168381,22.080000,1.000000
0.176884,0.294062,6.567841,1.376701,16.205409,22.080000,1.000000
0.269981,0.346043,6.555885,0.741988,30.067867,22.080000,1.000000
0.170778,0.441229,8.382108,1.017171,21.933386,22.080000,1.000000
0.215913,0.444059,11.778183,1.208583,18.459627,22.080000,1.000000
0.252418,0.803789,9.286215,0.969522,23.011334,22.080000,1.000000
0.183094,0.802709,5.271758,0.856968,26.033631,22.080000,1.000000
0.164201,0.939542,5.624239,1.152290,19.361439,22.080000,1.000000
0.272646,0.053339,1.674261,1.163535,19.174322,22.080000,1.000000
0.264557,0.879356,5.963675,1.146280,19.462964,22.080000,1.000000
0.257673,0.745613,11.984736,0.703869,31.696241,22.080000,1.000000
0.196018,0.742597,2.655302,0.758201,29.424905,22.080000,1.000000
0.313363,0.549789,9.994898,0.609886,36.580619,22.080000,1.000000
0.277734,0.194301,11.494469,0.947190,23.553875,22.080000,1.000000
0.310825,0.293319,10.208037,1.057212,21.102666,22.080000,1.000000
0.282649,0.703228,5.258801,0.759712,29.366380,22.080000,1.000000
0.307867,0.417542,10.988098,0.661785,33.711862,22.080000,1.000000
0.164997,0.647276,8.542347,0.867787,25.709066,22.080000,1.000000
0.176670,0.474846,3.002626,0.731964,30.479659,22.080000,1.000000
0.290827,0.393853,6.509551,1.191167,18.729526,22.080000,1.000000
0.297403,0.642208,3.557812,0.877639,25.420475,22.080000,1.000000
0.240591,0.930934,3.276570,0.561795,39.712020,22.080000,1.000000
0.207460,0.468521,3.817317,1.310298,17.026661,22.080000,1.000000
0.277709,0.450204,11.266757,0.817147,27.302310,22.080000,1.000000
0.256552,0.881441,2.927434,1.111887,20.064984,22.080000,1.000000
0.292874,0.725325,9.882864,1.428725,15.615318,22.080000,1.000000
0.313153,0.248895,8.700538,1.039799,21.456060,22.080000,1.000000
0.268633,0.457078,3.379522,1.016095,21.956603,22.080000,1.000000
0.213313,0.384589,3.177161,0.935367,23.851593,22.080000,1.000000
0.255933,0.682593,3.317495,1.295423,17.222170,22.080000,1.000000
0.248583,0.193056,3.448627,0.964857,23.122605,22.080000,1.000000
0.163261,0.147648,4.460041,1.426998,15.634218,22.080000,1.000000
0.207625,0.852034,10.594212,1.427661,15.626957,22.080000,1.000000
0.300218,0.826226,10.222401,0.670444,33.276437,22.080000,1.000000
0.227034,0.122277,6.779349,1.392722,16.018986,22.080000,1.000000
0.221353,0.330426,7.505580,0.962372,23.182306,22.080000,1.000000
0.268419,0.064373,2.586664,0.709809,31.431002,22.080000,1.000000
0.167205,0.768938,7.523163,1.070392,20.842823,22.080000,1.000000
0.264084,0.756031,3.033423,1.221868,18.258935,22.080000,1.000000
0.291499,0.635046,5.778155,1.041602,21.418925,22.080000,1.000000
0.274881,0.312079,2.718892,1.012577,22.032897,22.080000,1.000000
0.299638,0.572945,6.591452,0.938196,23.779670,22.080000,1.000000
0.268336,0.150401,11.898491,1.139981,19.570499,22.080000,1.000000
0.179218,0.549039,11.755296,1.023786,21.791673,22.080000,1.000000
0.190710,0.704238,2.799389,1.274022,17.511471,22.080000,1.000000
0.257018,0.068102,2.851785,0.597784,37.321142,22.080000,1.000000
0.315648,0.159020,3.697512,0.921057,24.222170,22.080000,1.000000
0.210054,0.391630,11.208546,0.972350,22.944422,22.080000,1.000000
0.219578,0.910443,2.223535,1.304774,17.098745,22.080000,1.000000
0.248109,0.618185,10.735340,1.076964,20.715651,22.080000,1.000000
0.295524,0.061073,7.719534,1.074383,20.765414,22.080000,1.000000
0.253336,0.339873,10.679788,0.674260,33.088151,22.080000,1.000000
0.214571,0.242212,2.257277,1.263815,17.652894,22.080000,1.000000
0.278911,0.798601,1.598511,0.949164,23.504899,22.080000,1.000000
0.303724,0.893136,6.189722,1.002473,22.254962,22.080000,1.000000
0.245198,0.415982,11.294522,1.394240,16.001554,22.080000,1.000000
0.224203,0.235987,10.179527,1.294210,17.238318,22.080000,1.000000
0.271099,0.975530,2.509943,1.361683,16.384140,22.080000,1.000000
0.265115,0.589201,11.513224,1.029162,21.677827,22.080000,1.000000
0.205941,0.208701,2.049152,1.411567,15.805131,22.080000,1.000000
0.168794,0.300388,8.301853,1.279914,17.430857,22.080000,1.000000
0.201888,0.612245,2.987112,0.822366,27.129053,22.080000,1.000000
0.164448,0.343928,5.353398,1.411211,15.809120,22.080000,1.000000
0.234876,0.104453,7.335266,1.005369,22.190852,22.080000,1.000000
0.243070,0.066734,8.169055,1.041567,21.419658,22.080000,1.000000
0.182003,0.544376,3.735499,0.856692,26.042025,22.080000,1.000000
0.279216,0.205594,11.993044,1.109187,20.113831,22.080000,1.000000
0.244441,0.931088,9.753528,0.667170,33.439772,22.080000,1.000000
0.193462,0.471758,3.466836,1.011988,22.045718,22.080000,1.000000
0.263298,0.562553,2.665939,1.098134,20.316283,22.080000,1.000000
